sentence,label,source,length,clean_sentence,clean_length,preprocessed
Rating: 1 out of 10.  ,0,imdb,5,rating 1 10,3,rating 1 10
Boy was that sucker dry!!.,0,yelp,5,boy sucker dry,3,boy sucker dry
What a waste of time!,0,amazon,5,waste time,2,waste time
Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,1,imdb,39,also notable john baileys fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppolas dracula received well deserved oscar,24,also notable john baileys fine crisp beautifully colored cinematography great production design costumes eiko ishioka went memorable costumes coppolas dracula received well deserved oscar
It dit not work most of the time with my Nokia 5320.,0,amazon,12,dit work time nokia 5320,5,dit work time nokia 5320
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0,imdb,31,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal,19,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal
I think i was one of the people who found this another one of roth's pearls.  ,1,imdb,16,think one people found another one roths pearls,8,think one people found another one roths pearls
Please dont waste your money.,0,amazon,5,please dont waste money,4,please dont waste money
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,yelp,19,salad right amount sauce power scallop perfectly cooked,8,salad right amount sauce power scallop perfectly cooked
I found this product to be waaay too big.,0,amazon,9,found product waaay big,4,found product waaay big
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,1,imdb,17,clever real crowdpleaserthis film still ranks among mickeys best films even 80 wonderful years,14,clever real crowdpleaserthis film still ranks among mickeys best films even 80 wonderful years
$50 Down the drain.,0,amazon,4,50 drain,2,50 drain
"Long, whiny and pointless.  ",0,imdb,4,long whiny pointless,3,long whiny pointless
"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",1,imdb,14,ranks highly great noircrimedrama incredible performances belmondo lino ventura,9,ranks highly great noircrimedrama incredible performances belmondo lino ventura
"What did bother me, was the slow service.",0,yelp,8,bother slow service,3,bother slow service
"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0,imdb,20,even allowing poor production values time 1971 format kind miniseries baaaaaad,11,even allowing poor production values time 1971 format kind miniseries baaaaaad
I'm very disappointed with my decision.,0,amazon,6,im disappointed decision,3,im disappointed decision
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,1,imdb,18,thoroughly enjoyed christopher eccleston took control tardis continuation series,9,thoroughly enjoyed christopher eccleston took control tardis continuation series
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1,imdb,28,continuously beautiful look bertolucci relationships convincing narrative engaging masters work,10,continuously beautiful look bertolucci relationships convincing narrative engaging masters work
Highly recommend for any one who has a blue tooth phone.,1,amazon,11,highly recommend one blue tooth phone,6,highly recommend one blue tooth phone
Waited and waited and waited.,0,yelp,5,waited waited waited,3,waited waited waited
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0,imdb,20,director paul matthews also wrotedirected weak 1995 monster movie grim clearly doesnt know pace films,15,director paul matthews also wrotedirected weak 1995 monster movie grim clearly doesnt know pace films
"The lines, the cuts, the audio, everything is wrong.  ",0,imdb,9,lines cuts audio everything wrong,5,lines cuts audio everything wrong
Go watch it!  ,1,imdb,3,go watch,2,go watch
I only hear garbage for audio.,0,amazon,6,hear garbage audio,3,hear garbage audio
The fries were great too.,1,yelp,5,fries great,2,fries great
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,yelp,15,pulled car waited another 15 minutes acknowledged,7,pulled car waited another 15 minutes acknowledged
The only thing that I think could improve is the sound leaks out from the headset.,0,amazon,16,thing think could improve sound leaks headset,7,thing think could improve sound leaks headset
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,imdb,15,actually turned pretty decent far blist horrorsuspense films go,9,actually turned pretty decent far blist horrorsuspense films go
"The point is the journey, a journey that touches every member of the family.  ",1,imdb,14,point journey journey touches every member family,7,point journey journey touches every member family
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,amazon,15,exchanged sony ericson z500a im pretty happy decision,8,exchanged sony ericson z500a im pretty happy decision
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,amazon,23,amazed quick arrival two original lg cell phone batteries fraction price,11,amazed quick arrival two original lg cell phone batteries fraction price
The aerial scenes were well-done.  ,1,imdb,5,aerial scenes welldone,3,aerial scenes welldone
there are so many problems i dont know where to start.  ,0,imdb,11,many problems dont know start,5,many problems dont know start
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,imdb,17,guess nobody network aired dribble watched putting,7,guess nobody network aired dribble watched putting
I especially love the long battery life.,1,amazon,7,especially love long battery life,5,especially love long battery life
I literally vomited while watching this film.  ,0,imdb,7,literally vomited watching film,4,literally vomited watching film
"Terrible product, and waste of money!",0,amazon,6,terrible product waste money,4,terrible product waste money
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,amazon,16,bought nokia cell phone weeks ago nightmare,7,bought nokia cell phone weeks ago nightmare
I would avoid this place if you are staying in the Mirage.,0,yelp,12,would avoid place staying mirage,5,would avoid place staying mirage
Awkward to use and unreliable.,0,amazon,5,awkward use unreliable,3,awkward use unreliable
It was clear that she had the range and ability to pull off this part.  ,1,imdb,15,clear range ability pull part,5,clear range ability pull part
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,yelp,10,self proclaimed coffee cafe wildly disappointed,6,self proclaimed coffee cafe wildly disappointed
I love their fries and their beans.,1,yelp,7,love fries beans,3,love fries beans
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",1,imdb,24,seen many movies starring jaclyn smith god one best though came 12 years ago,14,seen many movies starring jaclyn smith god one best though came 12 years ago
10/10  ,1,imdb,1,1010,1,1010
"The burger is good beef, cooked just right.",1,yelp,8,burger good beef cooked right,5,burger good beef cooked right
Lately they have been extremely nice and helpful on the phone.,1,amazon,11,lately extremely nice helpful phone,5,lately extremely nice helpful phone
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,imdb,20,average acting main person low budget clearly see,8,average acting main person low budget clearly see
Those phones are working just fine now.,1,amazon,7,phones working fine,3,phones working fine
Perfect for the PS3.,1,amazon,4,perfect ps3,2,perfect ps3
I did not have any problem with this item and would order it again if needed.,1,amazon,16,problem item would order needed,5,problem item would order needed
"Good show, Samsung.",1,amazon,3,good show samsung,3,good show samsung
"The food was great as always, compliments to the chef.",1,yelp,10,food great always compliments chef,5,food great always compliments chef
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,amazon,17,prosgood camera nice pictures also cool styles like black white,10,prosgood camera nice pictures also cool styles like black white
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,amazon,20,phone get 2005 bought s710a say wow,7,phone get 2005 bought s710a say wow
"And, quite honestly, often its not very good.  ",0,imdb,8,quite honestly often good,4,quite honestly often good
I'm so sorry but I really can't recommend it to anyone.  ,0,imdb,11,im sorry really cant recommend anyone,6,im sorry really cant recommend anyone
Comfort for our whole family.,1,amazon,5,comfort whole family,3,comfort whole family
I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,0,imdb,31,filmmaker director would hide head sand id spent whatever amount money time movie,13,filmmaker director would hide head sand id spent whatever amount money time movie
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,0,imdb,51,attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously didnt care film oh mention uhura belly dance distract male guards,27,attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously didnt care film oh mention uhura belly dance distract male guards
This is hands down the best phone I've ever had.,1,amazon,10,hands best phone ive ever,5,hands best phone ive ever
Lange had become a great actress.  ,1,imdb,6,lange become great actress,4,lange become great actress
Everything about this film is simply incredible.  ,1,imdb,7,everything film simply incredible,4,everything film simply incredible
The Jabra EarGels fit my ears very well.,1,amazon,8,jabra eargels fit ears well,5,jabra eargels fit ears well
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,yelp,14,love sushi found kabuki overpriced overhip underservices,7,love sushi found kabuki overpriced overhip underservices
"But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  ",1,imdb,27,liked movies like matrix better yet sequels think youll appreciate thought provoking mindblowing experience film give,16,liked movies like matrix better yet sequels think youll appreciate thought provoking mindblowing experience film give
"After 3 months, screen just went black all of a sudden.",0,amazon,11,3 months screen went black sudden,6,3 months screen went black sudden
* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,yelp,15,hot sour egg flower soups absolutely 5 stars,8,hot sour egg flower soups absolutely 5 stars
This fixes all the problems.,1,amazon,5,fixes problems,2,fixes problems
Nothing at all to recommend.  ,0,imdb,5,nothing recommend,2,nothing recommend
So flavorful and has just the perfect amount of heat.,1,yelp,10,flavorful perfect amount heat,4,flavorful perfect amount heat
Generally; it just lacked imagination.  ,0,imdb,5,generally lacked imagination,3,generally lacked imagination
Awesome service and food.,1,yelp,4,awesome service food,3,awesome service food
It was a pale color instead of nice and char and has NO flavor.,0,yelp,14,pale color instead nice char flavor,6,pale color instead nice char flavor
I will be back many times soon.,1,yelp,7,back many times soon,4,back many times soon
And none of the tones is acceptable.,0,amazon,7,none tones acceptable,3,none tones acceptable
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0,imdb,19,acting whole cast could put scale balanced perfectly overacting underacting,10,acting whole cast could put scale balanced perfectly overacting underacting
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,amazon,18,usable keyboard actually turns pda realworld useful machine instead neat gadget,11,usable keyboard actually turns pda realworld useful machine instead neat gadget
Bad Choice.,0,amazon,2,bad choice,2,bad choice
But it's just not funny.  ,0,imdb,5,funny,1,funny
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,imdb,14,brain attempt shutdown part primal impulse selfpreservation,7,brain attempt shutdown part primal impulse selfpreservation
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",1,imdb,18,want movie thats gross gives chills great choice,8,want movie thats gross gives chills great choice
"In short, don't bother with this movie.  ",0,imdb,7,short dont bother movie,4,short dont bother movie
The service here leaves a lot to be desired.,0,yelp,9,service leaves lot desired,4,service leaves lot desired
"I started this review with two stars, but I'm editing it to give it only one.",0,yelp,16,started review two stars im editing give one,8,started review two stars im editing give one
I was disgusted because I was pretty sure that was human hair.,0,yelp,12,disgusted pretty sure human hair,5,disgusted pretty sure human hair
Lame would be the best way to describe it.  ,0,imdb,9,lame would best way describe,5,lame would best way describe
"Bought mainly for the charger, which broke soon after purchasing.",0,amazon,10,bought mainly charger broke soon purchasing,6,bought mainly charger broke soon purchasing
This item is fantastic and works perfectly!,1,amazon,7,item fantastic works perfectly,4,item fantastic works perfectly
"not even a ""hello, we will be right with you.""",0,yelp,10,even hello right,3,even hello right
But I definitely would not eat here again.,0,yelp,8,definitely would eat,3,definitely would eat
W810i is just SUPERB.,1,amazon,4,w810i superb,2,w810i superb
Glad I didn't pay to see it.  ,0,imdb,7,glad didnt pay see,4,glad didnt pay see
It is shameful.  ,0,imdb,3,shameful,1,shameful
The problem was the script.  ,0,imdb,5,problem script,2,problem script
Dee Snider just plain sucks.  ,0,imdb,5,dee snider plain sucks,4,dee snider plain sucks
I don't recommend unless your car breaks down in front of it and you are starving.,0,yelp,16,dont recommend unless car breaks front starving,7,dont recommend unless car breaks front starving
The roast beef sandwich tasted really good!,1,yelp,7,roast beef sandwich tasted really good,6,roast beef sandwich tasted really good
Do not make the same mistake as me.,0,amazon,8,make mistake,2,make mistake
But this movie is definitely a below average rent.  ,0,imdb,9,movie definitely average rent,4,movie definitely average rent
"No additional ear gels provided, and no instructions whatsoever.",0,amazon,9,additional ear gels provided instructions whatsoever,6,additional ear gels provided instructions whatsoever
"I don't have very many words to say about this place, but it does everything pretty well.",1,yelp,17,dont many words say place everything pretty well,8,dont many words say place everything pretty well
Battery charge-life is quite long.,1,amazon,5,battery chargelife quite long,4,battery chargelife quite long
Don't buy it.,0,amazon,3,dont buy,2,dont buy
"The best part about ""Nurse Betty"" is it's unpredictability.  ",1,imdb,9,best part nurse betty unpredictability,5,best part nurse betty unpredictability
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,imdb,19,movie joins revenge boogeyman zombiez part hellish trinity horror films,10,movie joins revenge boogeyman zombiez part hellish trinity horror films
It's so bad it's actually worth seeing just for that reason.  ,0,imdb,11,bad actually worth seeing reason,5,bad actually worth seeing reason
"I can barely ever hear on it and am constantly saying ""what?""",0,amazon,12,barely ever hear constantly saying,5,barely ever hear constantly saying
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",0,imdb,16,plot simply rumbles like machine desperately depending addition new scenes,10,plot simply rumbles like machine desperately depending addition new scenes
The price is reasonable and the service is great.,1,yelp,9,price reasonable service great,4,price reasonable service great
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,yelp,25,guess known place would suck inside excalibur didnt use common sense,11,guess known place would suck inside excalibur didnt use common sense
I'd like to return it.,0,amazon,5,id like return,3,id like return
Then a few days later the a puff of smoke came out of the phone while in use.,0,amazon,18,days later puff smoke came phone use,7,days later puff smoke came phone use
I love this phone!.,1,amazon,4,love phone,2,love phone
Magical Help.,1,amazon,2,magical help,2,magical help
This was such an awesome movie that i bought it off of Ebay.  ,1,imdb,13,awesome movie bought ebay,4,awesome movie bought ebay
"Overall, a great experience.",1,yelp,4,overall great experience,3,overall great experience
The first thing that happened was that the tracking was off.,0,amazon,11,first thing happened tracking,4,first thing happened tracking
Spend your money elsewhere.,0,yelp,4,spend money elsewhere,3,spend money elsewhere
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,amazon,20,even bmw 3 series fairly quiet trouble hearing person saying,10,even bmw 3 series fairly quiet trouble hearing person saying
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,imdb,19,tired clichés lazy writing come thick fast,7,tired clichés lazy writing come thick fast
The stories were as unbelievable as the actors.  ,0,imdb,8,stories unbelievable actors,3,stories unbelievable actors
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,amazon,20,embarassing also ears hurt try push ear plug ear,9,embarassing also ears hurt try push ear plug ear
So don't go there if you are looking for good food...,0,yelp,11,dont go looking good food,5,dont go looking good food
This is essentially a communications tool that does not communicate.,0,amazon,10,essentially communications tool communicate,4,essentially communications tool communicate
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,amazon,15,product excellent works better verizon one boy cheaper,8,product excellent works better verizon one boy cheaper
The best phone in market :).,1,amazon,6,best phone market,3,best phone market
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,amazon,19,convenient simple use gets job done makes car ride much smoother,11,convenient simple use gets job done makes car ride much smoother
"Voice Quality, Signal Strength, Dropped Calls.",0,amazon,6,voice quality signal strength dropped calls,6,voice quality signal strength dropped calls
"I love the owner/chef, his one authentic Japanese cool dude!",1,yelp,10,love ownerchef one authentic japanese cool dude,7,love ownerchef one authentic japanese cool dude
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,amazon,21,unfortunately recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc,15,unfortunately recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1,imdb,27,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen,17,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen
This movie is terrible.  ,0,imdb,4,movie terrible,2,movie terrible
The service was meh.,0,yelp,4,service meh,2,service meh
but the movie makes a lot of serious mistakes.  ,0,imdb,9,movie makes lot serious mistakes,5,movie makes lot serious mistakes
"When I opened the sandwich, I was impressed, but not in a good way.",0,yelp,14,opened sandwich impressed good way,5,opened sandwich impressed good way
Now this is a movie I really dislike.  ,0,imdb,8,movie really dislike,3,movie really dislike
We have gotten a lot of compliments on it.,1,amazon,9,gotten lot compliments,3,gotten lot compliments
A good commentary of today's love and undoubtedly a film worth seeing.  ,1,imdb,12,good commentary todays love undoubtedly film worth seeing,8,good commentary todays love undoubtedly film worth seeing
Terrible management.,0,yelp,2,terrible management,2,terrible management
!I definitly recommend!!,1,amazon,3,definitly recommend,2,definitly recommend
We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,yelp,19,also ordered spinach avocado salad ingredients sad dressing literally zero taste,11,also ordered spinach avocado salad ingredients sad dressing literally zero taste
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,imdb,26,movie edge seat made somewhat afraid go car end night,10,movie edge seat made somewhat afraid go car end night
Now the pizza itself was good the peanut sauce was very tasty.,1,yelp,12,pizza good peanut sauce tasty,5,pizza good peanut sauce tasty
i wouldnt see this movie again for free.  ,0,imdb,8,wouldnt see movie free,4,wouldnt see movie free
I was so insulted.,0,yelp,4,insulted,1,insulted
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0,imdb,19,check directors filmography site see film didnt chance,8,check directors filmography site see film didnt chance
Food was delicious!,1,yelp,3,food delicious,2,food delicious
Also difficult to put on.I'd recommend avoiding this product.,0,amazon,9,also difficult put onid recommend avoiding product,7,also difficult put onid recommend avoiding product
"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,amazon,21,however bt headsets currently good real time games like firstperson shooters since audio delay messes,15,however bt headsets currently good real time games like firstperson shooters since audio delay messes
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,yelp,23,im sure long stood long enough begin feel awkwardly place,10,im sure long stood long enough begin feel awkwardly place
"This isn't a small family restaurant, this is a fine dining establishment.",1,yelp,12,isnt small family restaurant fine dining establishment,7,isnt small family restaurant fine dining establishment
"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1,imdb,15,course footage 70s grainy enhanced film,6,course footage 70s grainy enhanced film
This is cool because most cases are just open there allowing the screen to get all scratched up.,1,amazon,18,cool cases open allowing screen get scratched,7,cool cases open allowing screen get scratched
Even the squibs look awful.  ,0,imdb,5,even squibs look awful,4,even squibs look awful
"It's too bad that everyone else involved didn't share Crowe's level of dedication to quality, for if they did, we'd have a far better film on our hands than this sub-par mess.  ",0,imdb,32,bad everyone else involved didnt share crowes level dedication quality wed far better film hands subpar mess,17,bad everyone else involved didnt share crowes level dedication quality wed far better film hands subpar mess
"Call me a nut, but I think this is one of the best movies ever.  ",1,imdb,15,call nut think one best movies ever,7,call nut think one best movies ever
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,yelp,22,hilarious yummy christmas eve dinner remember biggest fail entire trip us,11,hilarious yummy christmas eve dinner remember biggest fail entire trip us
"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,yelp,24,much say place walked expected amazing quickly disappointed,8,much say place walked expected amazing quickly disappointed
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,yelp,17,walked place smelled like old grease trap 2 others eating,10,walked place smelled like old grease trap 2 others eating
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,yelp,25,staff friendly wait times served horrible one even says hi first 10 minutes,13,staff friendly wait times served horrible one even says hi first 10 minutes
It's very attractive and appears to be of good quality.,1,amazon,10,attractive appears good quality,4,attractive appears good quality
Good beer & drink selection and good food selection.,1,yelp,9,good beer drink selection good food selection,7,good beer drink selection good food selection
none of the new ones have ever quite worked properly.,0,amazon,10,none new ones ever quite worked properly,7,none new ones ever quite worked properly
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,amazon,17,like loud buzzing override conversations phone,6,like loud buzzing override conversations phone
"A very good film indeed, about great and unconditional love.  ",1,imdb,10,good film indeed great unconditional love,6,good film indeed great unconditional love
"Couldn't use the unit with sunglasses, not good in Texas!",0,amazon,10,couldnt use unit sunglasses good texas,6,couldnt use unit sunglasses good texas
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,yelp,18,salad wings ice cream dessert left feeling quite satisfied,9,salad wings ice cream dessert left feeling quite satisfied
The design might be ergonomic in theory but I could not stand having these in my ear.,0,amazon,17,design might ergonomic theory could stand ear,7,design might ergonomic theory could stand ear
I love the decor with the Chinese calligraphy wall paper.,1,yelp,10,love decor chinese calligraphy wall paper,6,love decor chinese calligraphy wall paper
This phone is pretty sturdy and I've never had any large problems with it.,1,amazon,14,phone pretty sturdy ive never large problems,7,phone pretty sturdy ive never large problems
It's PURE BRILLIANCE.  ,1,imdb,3,pure brilliance,2,pure brilliance
"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1,imdb,14,sets especially designed work camera amazingstylized beautiful effective,8,sets especially designed work camera amazingstylized beautiful effective
Everything was perfect the night we were in.,1,yelp,8,everything perfect night,3,everything perfect night
I do think Tom Hanks is a good actor.  ,1,imdb,9,think tom hanks good actor,5,think tom hanks good actor
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,yelp,15,like reviewer said couldnt pay eat place,7,like reviewer said couldnt pay eat place
"Well packaged, arrived on time, and works as intended.",1,amazon,9,well packaged arrived time works intended,6,well packaged arrived time works intended
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,amazon,23,phone fast sending kind messages web browsing significantly faster previous phones used,12,phone fast sending kind messages web browsing significantly faster previous phones used
this place is good.,1,yelp,4,place good,2,place good
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,amazon,8,bottowm lineanother worthless cheap gimmick sprint,6,bottowm lineanother worthless cheap gimmick sprint
Its not user friendly.,0,amazon,4,user friendly,2,user friendly
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  ,0,imdb,15,film tries serious sophisticated thrillerhorror flick fails miserably,8,film tries serious sophisticated thrillerhorror flick fails miserably
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0,imdb,35,lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk,21,lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk
"(It wasn't busy either) Also, the building was FREEZING cold.",0,yelp,10,wasnt busy either also building freezing cold,7,wasnt busy either also building freezing cold
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0,imdb,21,mean realistic world would never gotten ballet repertory whole thing quite pathetic,12,mean realistic world would never gotten ballet repertory whole thing quite pathetic
"I wouldn't say they're worth 2 hours of your time, though.  ",0,imdb,11,wouldnt say theyre worth 2 hours time though,8,wouldnt say theyre worth 2 hours time though
Don't buy this product.,0,amazon,4,dont buy product,3,dont buy product
Server did a great job handling our large rowdy table.,1,yelp,10,server great job handling large rowdy table,7,server great job handling large rowdy table
This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0,imdb,21,show made americans stupid full hatred clichés admitted elsewhere,9,show made americans stupid full hatred clichés admitted elsewhere
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,yelp,19,fiancé came middle day greeted seated right away,8,fiancé came middle day greeted seated right away
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,amazon,10,disappointing thing speakerphone,3,disappointing thing speakerphone
Warning - Stay away.,0,amazon,4,warning stay away,3,warning stay away
"When I first watched this movie, in the 80s, I loved it.  ",1,imdb,12,first watched movie 80s loved,5,first watched movie 80s loved
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,amazon,26,quit working id used 18 months purchased another one best headset ive ever owned,14,quit working id used 18 months purchased another one best headset ive ever owned
I'm still infatuated with this phone.,1,amazon,6,im still infatuated phone,4,im still infatuated phone
The warmth it generates is in contrast to its austere backdrop.  ,1,imdb,11,warmth generates contrast austere backdrop,5,warmth generates contrast austere backdrop
Don't buy this product.,0,amazon,4,dont buy product,3,dont buy product
The service here is fair at best.,0,yelp,7,service fair best,3,service fair best
The lead man is charisma-free.  ,0,imdb,5,lead man charismafree,3,lead man charismafree
I don't think I'll be running back to Carly's anytime soon for food.,0,yelp,13,dont think ill running back carlys anytime soon food,9,dont think ill running back carlys anytime soon food
The management is rude.,0,yelp,4,management rude,2,management rude
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0,imdb,18,originality freshness first movie spent remake little else offer,9,originality freshness first movie spent remake little else offer
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1,imdb,71,masterful piece filmmaking many themes simmering occasionally boiling warts study poets bohemian selfindulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism selfsacrifice,41,masterful piece filmmaking many themes simmering occasionally boiling warts study poets bohemian selfindulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism selfsacrifice
I liked it.  ,1,imdb,3,liked,1,liked
I would give this television series a 10 plus if i could.  ,1,imdb,12,would give television series 10 plus could,7,would give television series 10 plus could
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1,yelp,17,really enjoyed crema café expanded even told friends best breakfast,10,really enjoyed crema café expanded even told friends best breakfast
"sucked, most of the stuff does not work with my phone.",0,amazon,11,sucked stuff work phone,4,sucked stuff work phone
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,imdb,15,movie showed lot florida best made look appealing,8,movie showed lot florida best made look appealing
Definitely worth checking out.  ,1,imdb,4,definitely worth checking,3,definitely worth checking
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,amazon,20,really wanted plantronics 510 right one many issues methe good,10,really wanted plantronics 510 right one many issues methe good
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",1,imdb,20,saw child tv back 1973 stranger loved,7,saw child tv back 1973 stranger loved
Best headset ever!!!.,1,amazon,3,best headset ever,3,best headset ever
"Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.",0,amazon,23,finally three four times spring latch broke could use longer visor,11,finally three four times spring latch broke could use longer visor
About half way through this film I started to dislike it.  ,0,imdb,11,half way film started dislike,5,half way film started dislike
Worst customer service.,0,amazon,3,worst customer service,3,worst customer service
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,1,imdb,14,beautiful directed film nicolas roeg wih sublime cast,8,beautiful directed film nicolas roeg wih sublime cast
This is the kind of money that is wasted properly.  ,1,imdb,10,kind money wasted properly,4,kind money wasted properly
Don't buy this product - It fails!.,0,amazon,7,dont buy product fails,4,dont buy product fails
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,amazon,20,bought hoping could make bluetooth headset fit better things made impossible wear,12,bought hoping could make bluetooth headset fit better things made impossible wear
The food was excellent and service was very good.,1,yelp,9,food excellent service good,4,food excellent service good
