sentence,clean_sentence,label,source,length,clean_length
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",film nothing pretext show ridiculous action scenes,0,imdb,14,7
How awful she is!  ,awful,0,imdb,4,1
"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",still bad actress repeating robotic face moves pictures,0,imdb,17,8
"The results, well, are a shame.  ",results well shame,0,imdb,6,3
DELETE this film from your mind!  ,delete film mind,0,imdb,6,3
One of the worst shows of all time.  ,one worst shows time,0,imdb,8,4
The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,show would begin smart ass ed comments would totally wall uncalled,0,imdb,22,11
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",fat computer geek unbelievable bible thumper badass girl actors,0,imdb,16,9
Never heard of any of them except Cole who was totally unbelievable in the part.  ,never heard except cole totally unbelievable part,0,imdb,15,7
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",every time opened mouth expect hear see kids pulling plug mercy killing horrible show,0,imdb,24,14
The stories were as unbelievable as the actors.  ,stories unbelievable actors,0,imdb,8,3
Lame would be the best way to describe it.  ,lame would best way describe,0,imdb,9,5
"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",stanwyck morgan perfectly cast many ways modern equivalent dickens christmas carol sensibility,1,imdb,22,12
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,success film depends casting sydney greenstreet alexander yardley character,1,imdb,17,9
The attractive set used throughout most of the film is an eye-pleasing gem.  ,attractive set used throughout film eyepleasing gem,1,imdb,13,7
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",im big fan rpg games movie disgrace selfrespecting rpger,0,imdb,19,9
"The lines, the cuts, the audio, everything is wrong.  ",lines cuts audio everything wrong,0,imdb,9,5
You can find better movies at youtube.  ,find better movies youtube,0,imdb,7,4
"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",top line dont waste time money one bad comes,0,imdb,17,9
"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",lassie movie put sleep forever,0,imdb,11,5
That's how I'd describe this painfully dreary time-waster of a film.  ,thats id describe painfully dreary timewaster film,0,imdb,11,7
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",mediocre every aspect becomes dull uninteresting mess one forgettable movies ive seen,0,imdb,23,12
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",isnt even achievement sobaditsgood sobaditsmemorable movie,0,imdb,11,6
"It's an empty, hollow shell of a movie.  ",empty hollow shell movie,0,imdb,8,4
"Seriously, it's not worth wasting your, or your kid's time on.  ",seriously worth wasting kids time,0,imdb,11,5
"Avoid, avoid, avoid!  ",avoid avoid avoid,0,imdb,3,3
It will drive you barking mad!  ,drive barking mad,0,imdb,6,3
The transfers are very good.  ,transfers good,1,imdb,5,2
Very nice and relaxing late night viewing.  ,nice relaxing late night viewing,1,imdb,7,5
The movie is full of wonderful dancing (hence the title!  ,movie full wonderful dancing hence title,1,imdb,10,6
") some great music, and terrific scenery.  ",great music terrific scenery,1,imdb,7,4
"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",handles tough issues dignity grace course shocking spoiler,1,imdb,16,8
") a happy, wonderful, feel good ending!  ",happy wonderful feel good ending,1,imdb,7,5
"The point is the journey, a journey that touches every member of the family.  ",point journey journey touches every member family,1,imdb,14,7
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,one movies need see whenever comes tvnever mind fact already memorized,1,imdb,23,11
Nothing new there.  ,nothing new,0,imdb,3,2
That was done in the second movie.  ,done second movie,0,imdb,7,3
The movie has almost no action scenes in it and very little comedy.  ,movie almost action scenes little comedy,0,imdb,13,6
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,plot holes pair fishnet stockings direction editing astonishingly ham fisted,0,imdb,20,10
What on earth is Irons doing in this film?  ,earth irons film,0,imdb,9,3
I just saw this film and I recommend it.  ,saw film recommend,1,imdb,9,3
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",good plot holds complete attention acting superb tom wilkinson fantastic emily watson also good,1,imdb,26,14
"A very good film indeed, about great and unconditional love.  ",good film indeed great unconditional love,1,imdb,10,6
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",tom wilkinsons character man prepared ordeal begin takes matter hand story progresses great actor gives performance makes feel characters anguish suffering,1,imdb,45,21
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",emily watsons character strong give quick glance understand everything,1,imdb,19,9
"Despite the pans of reviewers, I liked this movie.  ",despite pans reviewers liked movie,1,imdb,9,5
"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",fact liked better interview vampire liked lestat stuart townsend better cruises attempt,1,imdb,22,12
"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",aailiyah pretty good akasha places compelling first entrance mini dance scene,1,imdb,16,11
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",im big fan series mostly due anne rices style sensitivities treatments,1,imdb,16,11
I guess I liked the details of his dysfunction--he was believable.  ,guess liked details dysfunctionhe believable,1,imdb,11,5
The football scenes at the end were perplexing.  ,football scenes end perplexing,0,imdb,8,4
But I thought his acting was skilled.  ,thought acting skilled,1,imdb,7,3
Meredith M was better than all right.  ,meredith better right,1,imdb,7,3
A very charming film with wonderful sentiment and heart.  ,charming film wonderful sentiment heart,1,imdb,9,5
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,rare filmmaker takes time tell worthy moral tale care love doesnt fall trap overly syrupy indulgent,1,imdb,32,16
Nine out of ten for a truly lovely film.  ,nine ten truly lovely film,1,imdb,9,5
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,early film future goremeister lucio fulci good addition giallo subgenre,1,imdb,17,10
This is one of the best Italian thrillers of the early 70's.  ,one best italian thrillers early 70s,1,imdb,12,6
A standout scene.  ,standout scene,1,imdb,3,2
This scene is very strong and unpleasant.  ,scene strong unpleasant,0,imdb,7,3
"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",technically film well made impressive camerawork solid acting effective music riz ortolani  particularly good recurring unaccompanied female vocal sounds like coming distant hill,1,imdb,35,24
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,still wild stuff though highly recommended fans giallo cinema,1,imdb,14,9
The movie was very interesting from beginning to the end.  ,movie interesting beginning end,1,imdb,10,4
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,liked way dustin hoffmans character ready everything stay son,1,imdb,19,9
This movie is also revealing.  ,movie also revealing,1,imdb,5,3
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",personally think shows people learn find compromise self without involving people issue,1,imdb,21,12
And it was boring.  ,boring,0,imdb,4,1
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",tired clichés lazy writing come thick fast,0,imdb,19,7
PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,ps scene movie cool central character finds room blown,1,imdb,20,9
"It's a fresh, subtle, and rather sublime effect.  ",fresh subtle rather sublime effect,1,imdb,8,5
"An Italian reviewer called this ""a small, great film,"" and that's right.  ",italian reviewer called small great film thats right,1,imdb,12,8
"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",actors give wonderful performance especially jennifer rubin jamie harris changes nervous starlet beginning strange events part cool star,1,imdb,34,18
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",learn lot real inside emotions people movie lot movie business,1,imdb,22,10
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",movie movie situations beginning game played acting coach fascinating,1,imdb,23,9
Also the music by Mark Snow is possibly the best score I've ever heard.  ,also music mark snow possibly best score ive ever heard,1,imdb,14,10
You won't forget this movie!  ,wont forget movie,1,imdb,5,3
Why was this film made?  ,film made,0,imdb,5,2
The film has an ultra-cheap look to it.  ,film ultracheap look,0,imdb,8,3
The result is a film that just don't look right.  ,result film dont look right,0,imdb,10,5
None of them are engaging or exciting.  ,none engaging exciting,0,imdb,7,3
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,plot nonsense doesnt interest slightest way uniqueness,0,imdb,17,7
The Foreigner is not worth one second of your time.  ,foreigner worth one second time,0,imdb,10,5
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",saw child tv back 1973 stranger loved,1,imdb,20,7
But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,duet astronaut doctor beginning movie perfect exchange one considers movie made well cold war astronauts biggest fear crashed ussr,1,imdb,45,19
This movie is so awesome!  ,movie awesome,1,imdb,5,2
"I loved it, it was really scary.  ",loved really scary,1,imdb,7,3
I love the Scream movies and all horror movies and this one ranks way up there.  ,love scream movies horror movies one ranks way,1,imdb,16,8
If you want a real scare rent this one!  ,want real scare rent one,1,imdb,9,5
10/10  ,1010,1,imdb,1,1
This is an extraordinary film.  ,extraordinary film,1,imdb,5,2
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",courtroom drama compelling indictment american justice system frightening,1,imdb,16,8
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",film highlights fundamental flaws legal process discovering guilt innocence rather presents better court,1,imdb,27,13
"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",film well paced understated one best courtroom documentaries ive seen,1,imdb,15,10
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,mostly routine factbased tv drama gets boost fine performance cole,1,imdb,15,10
"Predictable, but not a bad watch.  ",predictable bad watch,1,imdb,6,3
It was clear that she had the range and ability to pull off this part.  ,clear range ability pull part,1,imdb,15,5
She carries the movie well.  ,carries movie well,1,imdb,5,3
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,constantine gives everything right intensity seems good understanding underlying psychological motivations,1,imdb,18,11
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",wonderful inspiring watch hope gets released video dvd,1,imdb,20,8
"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",piece trash ever released beyond acting story characters supposedly special effects etcits wrong,0,imdb,24,13
"In fact, this stinker smells like a direct-to-video release.  ",fact stinker smells like directtovideo release,0,imdb,9,6
Avoid at ALL costs!  ,avoid costs,0,imdb,4,2
Star Trek V The final Frontier is the worst in the series.  ,star trek v final frontier worst series,0,imdb,12,7
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",acting involved includes like shatner nimoy bad washed making seem old look real life special effects tacky like spock rescue kirk jet pack falls mountain,0,imdb,53,25
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,attempts humor pitiful story awful dosent bear thinking basically involves vulcan stealing enterprise find god seriously didnt care film oh mention uhura belly dance distract male guards,0,imdb,51,27
The only place good for this film is in the garbage.  ,place good film garbage,0,imdb,11,4
The worst one of the series.  ,worst one series,0,imdb,6,3
Editing: The editing of this film was phenomenal in my opinion.  ,editing editing film phenomenal opinion,1,imdb,11,5
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",song could explain emotions subjects better jay adams unfortunate life subject talk song old man neil young played evokes many emotions,1,imdb,36,21
Cinematography: The film was shot in an interesting way.  ,cinematography film shot interesting way,1,imdb,9,5
"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",course footage 70s grainy enhanced film,1,imdb,15,6
This film offers many delights and surprises.  ,film offers many delights surprises,1,imdb,7,5
"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",achille philippa beautifully sing duet giovanni perfectly describes situation movie appreciate subtle layers excellent film,1,imdb,28,15
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,story unfolds 18th century jutland use period music played period instruments one fine touch,1,imdb,23,14
You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,share general loewenhielms exquisite joy partaking cailles en sarcophage even though watching movie wish small sample savor,1,imdb,34,17
But this understated film leaves a lasting impression.  ,understated film leaves lasting impression,1,imdb,8,5
The warmth it generates is in contrast to its austere backdrop.  ,warmth generates contrast austere backdrop,1,imdb,11,5
You will leave the theater wanting to go out and dance under the stars.  ,leave theater wanting go dance stars,1,imdb,14,6
"The acting, as you'd expect from this cast, is top notch.  ",acting youd expect cast top notch,1,imdb,11,6
"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",characters fleshed surprisingly well particularly grimes blake actors deliver sharply scripted lines right amount deadpan tongue cheek make dialogue hilarious realistic,1,imdb,38,21
"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",angus scrimm also turns good performance somewhat brief memorable role gently menacing violinplaying anatomist doctor quinn,1,imdb,23,16
Conclusion - I loved it.  ,conclusion loved,1,imdb,5,2
It's a long time since I was so entertained by a movie.  ,long time since entertained movie,1,imdb,12,5
I struggle to find anything bad to say about it.  ,struggle find anything bad say,1,imdb,10,5
"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",mark words one cult films like evil dead 2 phantasm people still discovering falling love 20 30 40 years line,1,imdb,34,20
"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",pretty surprising wonderful film made 1949 hollywood generally collective heads sand concerning black white issues time,1,imdb,29,16
"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",film deserves strong kudos taking stand exceptional acting mostly lesserknown cast superintelligent script doesnt insult audience take easy way comes white racism,1,imdb,40,22
"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",plus movies rather modest budget fast running time amazing job,1,imdb,16,10
Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,juano hernandez exceptional actor played supporting roles many films era proud black man accused murdering white man south,1,imdb,31,18
Trumbull on I LOVE LUCY).  ,trumbull love lucy,1,imdb,5,3
See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,see kids chanceit open amazing dialog far race relations come last 50 years,1,imdb,28,13
See both films if you can.  ,see films,1,imdb,6,2
"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",year however reminded us huston still top game evinced faithful adaptation james joyces acclaimed novella dead,1,imdb,31,16
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",feelings thoughtsgabriels discomfort danceall intangibles leap life come within viewers grasp hustons portrayal,1,imdb,20,13
Very disappointed and wondered how it could be in the Oscar shortlist.  ,disappointed wondered could oscar shortlist,0,imdb,12,5
It's very slow.  ,slow,0,imdb,3,1
Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,lot holes plot theres nothing became emperor nothing spend 20 years childhood mature age,0,imdb,27,14
) Don't waste your time.  ,dont waste time,0,imdb,5,3
End of Days is one of the worst big-budget action movies I've ever seen.  ,end days one worst bigbudget action movies ive ever seen,0,imdb,14,10
He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,surely doesnt know make coherent action movie screenwriter air force one obliged write script big sum money,0,imdb,33,17
This was one of the worst films i have ever seen.  ,one worst films ever seen,0,imdb,11,5
I'm still trying to get over how bad it was.  ,im still trying get bad,0,imdb,10,5
This movie is possibly one of the most creative works of horror ever.  ,movie possibly one creative works horror ever,1,imdb,13,7
"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",everything could want suspense drama comedy confusing subplots native americans brain eating youre looking beall endall brainsucking movies look,1,imdb,28,19
""" With great sound effects, and impressive special effects, I can't recommend this movie enough.  ",great sound effects impressive special effects cant recommend movie enough,1,imdb,15,10
"Call me a nut, but I think this is one of the best movies ever.  ",call nut think one best movies ever,1,imdb,15,7
Great character actors Telly Savalas and Peter Boyle.  ,great character actors telly savalas peter boyle,1,imdb,8,7
"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  ",1 hour 54 minutes sheer tedium melodrama horrible acting mess script sinking feeling good lord thinking,0,imdb,27,16
Lots of holes in the script.  ,lots holes script,0,imdb,6,3
It's like a bad two hour TV movie.  ,like bad two hour tv movie,0,imdb,8,6
Now imagine that every single one of those decisions was made wrong.  ,imagine every single one decisions made wrong,0,imdb,12,7
The dialogue is atrocious.  ,dialogue atrocious,0,imdb,4,2
The acting is beyond abysmal.  ,acting beyond abysmal,0,imdb,5,3
Everything stinks.  ,everything stinks,0,imdb,2,2
"Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  ",trouble writing directing make impossible establish things make movie watchable like character story theme,0,imdb,25,14
"Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  ",worse theres incredibly weak subplot thrown follows little band latterday mansonites go reporter whos working story anniversary killings,0,imdb,33,18
"It's dumb and pointless, and a complete waste of time.  ",dumb pointless complete waste time,0,imdb,10,5
"In short, don't bother with this movie.  ",short dont bother movie,0,imdb,7,4
"I won't spoil it, but the ending in pretty amazing.  ",wont spoil ending pretty amazing,1,imdb,10,5
"The best scene in the movie is at the end, but I won't spoil it.  ",best scene movie end wont spoil,1,imdb,15,6
"If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  ",ever indication writer directors ability meld two highly volatile temperaments seamless union creativity,1,imdb,29,13
"The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  ",result powerhouse achievement made timely perhaps cultures disturbing fascination celebrity distorted interpretations fame,1,imdb,25,13
A film not easily forgotten.  ,film easily forgotten,1,imdb,5,3
"But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  ",kevin spacey excellent verbal tsunami buddy ackerman  totally believable great actor,1,imdb,21,12
The scripting of the subtle comedy is unmatched by any movie in recent years.  ,scripting subtle comedy unmatched movie recent years,1,imdb,14,7
"The characters are interesting, even if a bit predictable.  ",characters interesting even bit predictable,1,imdb,9,5
"Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  ",highly recommended ages although younger set probably appreciate subtle references certainly appreciate one galley scene particular,1,imdb,28,16
Great movie!  ,great movie,1,imdb,2,2
Also the story and acting were weak.  ,also story acting weak,0,imdb,7,4
"At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  ",around 4 pm bought around 8pm started watch around 815pm fast forwarded remaining film see anything left watchable human brain wasnt,0,imdb,41,21
"Either way, it sucks.  ",either way sucks,0,imdb,4,3
The script is horrendously stupid.  ,script horrendously stupid,0,imdb,5,3
The story starts too fast with absolutely no suspense or build-up in the slightest.  ,story starts fast absolutely suspense buildup slightest,0,imdb,14,7
Everything Captain Howdy says is either laughable or just plain stupid.  ,everything captain howdy says either laughable plain stupid,0,imdb,11,8
What the hell kind of crap is that?!  ,hell kind crap,0,imdb,8,3
"Then, there's the plot holes.  ",theres plot holes,0,imdb,5,3
You could drive a semi truck into these holes!  ,could drive semi truck holes,0,imdb,9,5
Linda Cardellini is the only thing good in this film.  ,linda cardellini thing good film,1,imdb,10,5
She's poised and amazing.  ,shes poised amazing,1,imdb,4,3
Dee Snider just plain sucks.  ,dee snider plain sucks,0,imdb,5,4
"He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  ",cant act one least scary villains ever seen cant write write damn movie sleep,0,imdb,25,14
I was bored throughout the whole damn thing.  ,bored throughout whole damn thing,0,imdb,8,5
"The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  ",acting sucks music sucks script sucks pacing sucks special fx suck directing sucks basically movie sucks,0,imdb,23,16
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  ,film tries serious sophisticated thrillerhorror flick fails miserably,0,imdb,15,8
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  ,probably one least effective utterly unoriginal films ever seen entire life,0,imdb,20,11
A piece of cinematic garbage captured on celluloid.  ,piece cinematic garbage captured celluloid,0,imdb,8,5
Avoid at any and all costs.  ,avoid costs,0,imdb,6,2
"At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  ",rate film stinks funny fulci stayed giallo supernatural zombie movies,0,imdb,20,10
Avoid this film at all costs.  ,avoid film costs,0,imdb,6,3
"I don't know what happened in Season Five, what a mess.  ",dont know happened season five mess,0,imdb,11,6
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  ,consistent thread holding series together amazing performances leni parker anita laselva two taelons quiet idealogical conflict,0,imdb,26,16
Now this is a movie I really dislike.  ,movie really dislike,0,imdb,8,3
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  ,one boring horror movies 90s mainly starts slow centers boring atmosphere,0,imdb,22,11
"The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  ",puppets look really cheesy good way like puppet master 80s flicks,0,imdb,18,11
"The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  ",story lame interesting never really explains sinister origins puppets,0,imdb,16,9
There aren't death scenes like in previous movies and the f/x are terrible.  ,arent death scenes like previous movies fx terrible,0,imdb,13,8
"I felt asleep the first time I watched it, so I can recommend it for insomniacs.  ",felt asleep first time watched recommend insomniacs,0,imdb,16,7
"The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  ",fact film wonderful heartwarming tale two people chasing dreams,1,imdb,16,9
"The best part about ""Nurse Betty"" is it's unpredictability.  ",best part nurse betty unpredictability,1,imdb,9,5
"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",director neil labute uses brutal violence seperate dreams reality along touching drama hilarious comedy never tell going happen next,1,imdb,30,19
"Otherwise, don't even waste your time on this.  ",otherwise dont even waste time,0,imdb,8,5
This one just fails to create any real suspense.  ,one fails create real suspense,0,imdb,9,5
"As for the killer, don't expect anything original or even remotely frightening.  ",killer dont expect anything original even remotely frightening,0,imdb,12,8
"There is, however, some pretty good acting (at least, for this type of film).  ",however pretty good acting least type film,1,imdb,14,7
I'm so sorry but I really can't recommend it to anyone.  ,im sorry really cant recommend anyone,0,imdb,11,6
"One of the most boring,pointless movies I have ever seen.  ",one boringpointless movies ever seen,0,imdb,10,5
The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,secondary plot line incomprehensible relation primary plot line mystifying,0,imdb,16,9
Hated it.  ,hated,0,imdb,2,1
This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  ,one worst sandra bullock movie since speed 2 quite bad,0,imdb,17,10
"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",dont understand garbage got shelves movie store even real movie,0,imdb,20,10
I highly doubt that anyone could ever like this trash.  ,highly doubt anyone could ever like trash,0,imdb,10,7
This is not movie-making.  ,moviemaking,0,imdb,4,1
"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  ",acting like watching wooden puppets moving around reading book thats bad,0,imdb,19,11
"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  ",warn youdo rent movie dumbest thing never seen,0,imdb,20,8
I saw this short film on HBO the other day and absolutely loved it.  ,saw short film hbo day absolutely loved,1,imdb,14,7
I didn't realize how wonderful the short really is until the last two scenes.  ,didnt realize wonderful short really last two scenes,1,imdb,14,8
Excellent short film.  ,excellent short film,1,imdb,3,3
"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  ",hopefully director james cox turn short feature length film cast win us whole new film,1,imdb,27,15
"I agree with Jessica, this movie is pretty bad.  ",agree jessica movie pretty bad,0,imdb,9,5
"Characters are one-dimensional, even the good guys and especially the bad guys.  ",characters onedimensional even good guys especially bad guys,0,imdb,12,8
The story line is totally predictable.  ,story line totally predictable,0,imdb,6,4
"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",much dialogue much music whole film shot elaborately aesthetically like sculpture,1,imdb,18,11
I've seen soap operas more intelligent than this movie.  ,ive seen soap operas intelligent movie,0,imdb,9,6
"Bad characters, bad story and bad acting.  ",bad characters bad story bad acting,0,imdb,7,6
Really awful.  ,really awful,0,imdb,2,2
Not easy to watch.  ,easy watch,0,imdb,4,2
"Funny, clever, hip - just like Pray's previous film, Hype!  ",funny clever hip like prays previous film hype,1,imdb,10,8
It was a long time that i didn't see a so charismatic actor on screen.  ,long time didnt see charismatic actor screen,1,imdb,15,7
Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  ,paolo sorrentino written wonderful story loneliness tony built one unforgettable characters seen movies recent years,1,imdb,25,15
The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,movie completely perfect titta di girolamo stay long time vision movie,1,imdb,24,11
I rate this movie 9/10.  ,rate movie 910,1,imdb,5,3
"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",know emilio estevezs directorial debut pacing interplay development characters well clever camera work surrounding character estevez plays suggest natural eye,1,imdb,38,20
The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  ,interplay martin emilio contains wonderful chemistry saw wall street martin charlie,1,imdb,20,11
"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  ",kathy bates wonderful characters subtle desperation escapism variation character play fields lord,1,imdb,25,12
For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  ,readers already seen one miyazakis films still top form made another worthwhile experience,1,imdb,21,13
"It never condescends, all the characters have good genuine hearts and believable problems.  ",never condescends characters good genuine hearts believable problems,1,imdb,13,8
The two main characters may be two of the most believable children I ever saw put on screen.  ,two main characters may two believable children ever saw put screen,1,imdb,18,11
"They are so easy to love, but even more easy to identify with.  ",easy love even easy identify,1,imdb,13,5
This movie is great--especially if you enjoy visual arts.  ,movie greatespecially enjoy visual arts,1,imdb,9,5
